name,sku,price,stock_qty,warranty_months,thumbnail_url,category,description,brand
18U Rack cabinet ,18U-Rack-cabinet,680,10,24,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*800 indoor wall mounted Rack cabinet,
18U Rack cabinet ,18U-Rack-cabinet,360,10,24,"https://static.wixstatic.com/media/f39d46_6a1fcfd0ec1547ce937c808843cb456a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,600*600 indoor wall mounted Rack cabinet,
15U Rack cabinet ,15U-Rack-cabinet,350,10,24,"https://static.wixstatic.com/media/f39d46_4d16457bbdd54561b38e7766b60716c3~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*600 indoor wall mounted Rack cabinet,
12U Rack cabinet ,12U-Rack-cabinet,260,10,24,"https://static.wixstatic.com/media/f39d46_4d16457bbdd54561b38e7766b60716c3~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,600*600 indoor wall mounted Rack cabinet,
9U Rack cabinet ,9U-Rack-cabinet,210,10,24,"https://static.wixstatic.com/media/f39d46_c0b5418892f948c58eb39ced0c9b769a~mv2.webp/v1/fit/w_500,h_500,q_90/file.webp",,600*600 indoor wall mounted Rack cabinet,
6U Rack cabinet ,6U-Rack-cabinet,150,10,24,"https://static.wixstatic.com/media/f39d46_c0b5418892f948c58eb39ced0c9b769a~mv2.webp/v1/fit/w_500,h_500,q_90/file.webp",,600*450 indoor wall mounted Rack cabinet,
4U Rack cabinet ,4U-Rack-cabinet,90,10,24,"https://static.wixstatic.com/media/f39d46_89defb8af60b4a248f0fc07559a70471~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,542*400 indoor wall mounted Rack cabinet,
Hi-88AiP8K   8.0MP Full-Color Video & Audio Bullet IP Camera / H.265            ,Hi-88AiP8K,168,10,24,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •3840*2160/2880*1624/2560*1440/2304*1296/1920*1080•8MP&15Fps/5MP/4MP/3MP2MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 25m•Metal+Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •187*60*72mm /0,35kg""""""""""""""",
Hi-88AiP5A   5.0MP Full-Color Video & Audio Bullet IP Camera / H.265 ,Hi-88AiP5A---5-0MP-Full-Color-Video---Audio-Bullet,135,10,24,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2880*1624/2560*1440.2034*1296.1920*1080.1280*720p•5MP&20Fps/4-3-2-1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 20m•Metal-Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •187*60*72mm /0,35kg",
Hi-88AiP3B   3.0MP Full-Color Video & Audio Bullet IP Camera / H.265 ,Hi-88AiP3B ,115,10,24,"https://static.wixstatic.com/media/f39d46_b5ffb1fdb37845e7a5241af7a506cdde~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 25m•Metal+Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •187*60*72mm /0,35kg""""""",
Hi-509FAİP8A  8.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,Hi-509FAİP8A,160,10,24,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""• Ai Human detection •3840*2160/2880*1624/2560*1440/2304*1296/1920*1080•8MP&15Fps/5MP/4MP/3MP2MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •2PCS Smart Dual Light LED 20m•Full-Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •102*82mm /0,32kg",
Hi-509FAİP5A  5.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,Hi-509FAİP5A,123,10,24,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2880*1624/2560*1440.2034*1296.1920*1080.1280*720p•5MP&20Fps/4-3-2-1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •2PCS Smart Dual Light LED 20m•Full-Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •102*82mm /0,32kg",
Hi-509FAİP3B  3.0MP Full-Color Video & Audio DOME IP Camera / H.265 ,Hi-509FAİP3B,102,10,24,"https://static.wixstatic.com/media/f39d46_28deee0ca8734ed4b3e445a2870b08f5~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•ONVIF2.4 / Hikvision / •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •2PCS Smart Dual Light LED 20m•Full-Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •102*82mm /0,32kg",
HI-66AVIP5A,HI-66AVIP5A 5mp,85,10,24,"https://static.wixstatic.com/media/f39d46_dccbbf20212d4260831fe1d0ea1aeb69~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2880*1624,2560*1440.2034*1296.1920*1080.•5MP&20Fps/4-3-2-1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 25m•Full Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •175p*60*72mm /0,3kg""",
HI-66AVIP3B,HI-66AVIP3B,65,10,24,"https://static.wixstatic.com/media/f39d46_dccbbf20212d4260831fe1d0ea1aeb69~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"• Ai Human detection •2560*1440.2034*1296.1920*1080.1280*720p•3MP&20Fps/2MP/1MP&25Fps•0.001Lux ≥52dB •RJ‐45 (10/100M)IP conflict Filter, Auto IP Search•Protocol ONVIF2.4&Hikvision •Full Color-B&W / H.265 / DWDR / mic-G.711•F1.3&3.6mm / F1.3&2.8mm optional •3PCS Smart Dual Light LED 25m•Full Plastic ‐10℃ ~ +50℃ RH95% Max•DC12V±10%, 1000mA •175p*60*72mm /0,3kg""",
